Nombre Producto;Sub Categoría Producto;Categoría Producto;Color;Fecha;Cantidad;Precio;Nombre Cliente;Genero;Ingreso Anual;Estado Civil;Rango Edad;Tipo Tienda;Nombre Tienda;País
WWI Screen 100in M1609 Blanco;Proyectores y pantallas;Computadoras;Blanco;09/02/2018;2;190;Miller, Alyssa;Femenino;90000;Soltero;Entre 51 y 60 años;Tienda;Tienda Fortaleza;Brasil
Audífono Adapter for Contoso Teléfono E130 Blanco;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Blanco;09/02/2018;1;250;Garcia, Andrew;Masculino;50000;Soltero;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
Contoso Bright Light battery E20 Negro;Accesorios de Computadoras;Computadoras;Negro;09/02/2018;2;26,9;Phillips, Marcus;Masculino;90000;Casado;Entre 51 y 60 años;Tienda;Tienda Río de Janeiro;Brasil
WWI Screen 100in M1609 Blanco;Proyectores y pantallas;Computadoras;Blanco;09/01/2018;2;190;Miller, Alyssa;Femenino;90000;Soltero;Entre 51 y 60 años;Tienda;Tienda Fortaleza;Brasil
Contoso In-Line Coupler E180 Dorado;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Dorado;09/01/2018;3;250;Allen, Chloe;Femenino;80000;Casado;Entre 41 y 50 años;Tienda;Tienda Río de Janeiro;Brasil
Proseware Wall Lamp E0315 Dorado;Lámparas;Electrodomésticos;Dorado;09/01/2018;4;101,99;Williams, Lucas;Masculino;80000;Casado;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
Audífono Adapter for Contoso Teléfono E130 Blanco;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Blanco;09/01/2018;1;250;Garcia, Andrew;Masculino;50000;Soltero;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
Contoso Bright Light battery E20 Negro;Accesorios de Computadoras;Computadoras;Negro;09/01/2018;2;26,9;Phillips, Marcus;Masculino;90000;Casado;Entre 51 y 60 años;Tienda;Tienda Río de Janeiro;Brasil
WWI Screen 100in M1609 Blanco;Proyectores y pantallas;Computadoras;Blanco;31/08/2018;1;190;Miller, Alyssa;Femenino;90000;Soltero;Entre 51 y 60 años;Tienda;Tienda Fortaleza;Brasil
Contoso In-Line Coupler E180 Dorado;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Dorado;31/08/2018;3;250;Allen, Chloe;Femenino;80000;Casado;Entre 41 y 50 años;Tienda;Tienda Río de Janeiro;Brasil
Proseware Wall Lamp E0315 Dorado;Lámparas;Electrodomésticos;Dorado;31/08/2018;4;101,99;Williams, Lucas;Masculino;80000;Casado;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
Audífono Adapter for Contoso Teléfono E130 Blanco;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Blanco;31/08/2018;1;250;Garcia, Andrew;Masculino;50000;Soltero;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
Contoso Bright Light battery E20 Negro;Accesorios de Computadoras;Computadoras;Negro;31/08/2018;1;26,9;Phillips, Marcus;Masculino;90000;Casado;Entre 51 y 60 años;Tienda;Tienda Río de Janeiro;Brasil
WWI Screen 100in M1609 Blanco;Proyectores y pantallas;Computadoras;Blanco;30/08/2018;1;190;Miller, Alyssa;Femenino;90000;Soltero;Entre 51 y 60 años;Tienda;Tienda Fortaleza;Brasil
Contoso In-Line Coupler E180 Dorado;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Dorado;30/08/2018;2;250;Allen, Chloe;Femenino;80000;Casado;Entre 41 y 50 años;Tienda;Tienda Río de Janeiro;Brasil
Proseware Wall Lamp E0315 Dorado;Lámparas;Electrodomésticos;Dorado;30/08/2018;3;101,99;Williams, Lucas;Masculino;80000;Casado;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
Audífono Adapter for Contoso Teléfono E130 Blanco;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Blanco;30/08/2018;1;250;Garcia, Andrew;Masculino;50000;Soltero;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
Audífono Adapter for Contoso Teléfono E130 Blanco;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Blanco;30/08/2018;4;250;Nelson, Isabella;Femenino;30000;Soltero;Entre 26 y 40 años;Tienda;Tienda Río de Janeiro;Brasil
Contoso Bright Light battery E20 Negro;Accesorios de Computadoras;Computadoras;Negro;30/08/2018;1;26,9;Phillips, Marcus;Masculino;90000;Casado;Entre 51 y 60 años;Tienda;Tienda Río de Janeiro;Brasil
WWI Screen 100in M1609 Blanco;Proyectores y pantallas;Computadoras;Blanco;29/08/2018;1;190;Miller, Alyssa;Femenino;90000;Soltero;Entre 51 y 60 años;Tienda;Tienda Fortaleza;Brasil
Contoso In-Line Coupler E180 Dorado;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Dorado;29/08/2018;2;250;Allen, Chloe;Femenino;80000;Casado;Entre 41 y 50 años;Tienda;Tienda Río de Janeiro;Brasil
Proseware Wall Lamp E0315 Dorado;Lámparas;Electrodomésticos;Dorado;29/08/2018;3;101,99;Williams, Lucas;Masculino;80000;Casado;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
Contoso Air Conditioner 5200BTU E0100 Azul;Aires Acondicionados;Electrodomésticos;Azul;29/08/2018;1;3199,99;Reed, Angela;Femenino;50000;Soltero;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
Audífono Adapter for Contoso Teléfono E130 Blanco;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Blanco;29/08/2018;4;250;Nelson, Isabella;Femenino;30000;Soltero;Entre 26 y 40 años;Tienda;Tienda Río de Janeiro;Brasil
Contoso Bright Light battery E20 Negro;Accesorios de Computadoras;Computadoras;Negro;29/08/2018;1;26,9;Phillips, Marcus;Masculino;90000;Casado;Entre 51 y 60 años;Tienda;Tienda Río de Janeiro;Brasil
WWI Screen 100in M1609 Blanco;Proyectores y pantallas;Computadoras;Blanco;28/08/2018;1;190;Miller, Alyssa;Femenino;90000;Soltero;Entre 51 y 60 años;Tienda;Tienda Fortaleza;Brasil
Contoso In-Line Coupler E180 Dorado;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Dorado;28/08/2018;1;250;Allen, Chloe;Femenino;80000;Casado;Entre 41 y 50 años;Tienda;Tienda Río de Janeiro;Brasil
Proseware Wall Lamp E0315 Dorado;Lámparas;Electrodomésticos;Dorado;28/08/2018;1;101,99;Williams, Lucas;Masculino;80000;Casado;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
Contoso Air Conditioner 5200BTU E0100 Azul;Aires Acondicionados;Electrodomésticos;Azul;28/08/2018;1;3199,99;Reed, Angela;Femenino;50000;Soltero;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
Audífono Adapter for Contoso Teléfono E130 Blanco;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Blanco;28/08/2018;4;250;Lee, Alexandra;Femenino;90000;Soltero;Entre 51 y 60 años;Tienda;Tienda Fortaleza;Brasil
Audífono Adapter for Contoso Teléfono E130 Blanco;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Blanco;28/08/2018;1;250;Nelson, Isabella;Femenino;30000;Soltero;Entre 26 y 40 años;Tienda;Tienda Río de Janeiro;Brasil
Contoso Bright Light battery E20 Negro;Accesorios de Computadoras;Computadoras;Negro;28/08/2018;1;26,9;Phillips, Marcus;Masculino;90000;Casado;Entre 51 y 60 años;Tienda;Tienda Río de Janeiro;Brasil
WWI Screen 100in M1609 Blanco;Proyectores y pantallas;Computadoras;Blanco;27/08/2018;1;190;Miller, Alyssa;Femenino;90000;Soltero;Entre 51 y 60 años;Tienda;Tienda Fortaleza;Brasil
Contoso In-Line Coupler E180 Dorado;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Dorado;27/08/2018;1;250;Allen, Chloe;Femenino;80000;Casado;Entre 41 y 50 años;Tienda;Tienda Río de Janeiro;Brasil
Proseware Wall Lamp E0315 Dorado;Lámparas;Electrodomésticos;Dorado;27/08/2018;1;101,99;Williams, Lucas;Masculino;80000;Casado;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
Contoso Air Conditioner 6000BTU E0180 Azul;Aires Acondicionados;Electrodomésticos;Azul;27/08/2018;1;3199,99;Reed, Angela;Femenino;50000;Soltero;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
Audífono Adapter for Contoso Teléfono E130 Blanco;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Blanco;27/08/2018;4;250;Lee, Alexandra;Femenino;90000;Soltero;Entre 51 y 60 años;Tienda;Tienda Fortaleza;Brasil
Audífono Adapter for Contoso Teléfono E130 Blanco;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Blanco;27/08/2018;1;250;Nelson, Isabella;Femenino;30000;Soltero;Entre 26 y 40 años;Tienda;Tienda Río de Janeiro;Brasil
Contoso Bright Light battery E20 Negro;Accesorios de Computadoras;Computadoras;Negro;27/08/2018;1;26,9;Phillips, Marcus;Masculino;90000;Casado;Entre 51 y 60 años;Tienda;Tienda Río de Janeiro;Brasil
WWI Screen 100in M1609 Blanco;Proyectores y pantallas;Computadoras;Blanco;26/08/2018;1;190;Miller, Alyssa;Femenino;90000;Soltero;Entre 51 y 60 años;Tienda;Tienda Fortaleza;Brasil
Contoso In-Line Coupler E180 Dorado;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Dorado;26/08/2018;1;250;Allen, Chloe;Femenino;80000;Casado;Entre 41 y 50 años;Tienda;Tienda Río de Janeiro;Brasil
Proseware Wall Lamp E0315 Dorado;Lámparas;Electrodomésticos;Dorado;26/08/2018;1;101,99;Williams, Lucas;Masculino;80000;Casado;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
Contoso Air Conditioner 6000BTU E0180 Azul;Aires Acondicionados;Electrodomésticos;Azul;26/08/2018;1;3199,99;Reed, Angela;Femenino;50000;Soltero;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
Audífono Adapter for Contoso Teléfono E130 Blanco;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Blanco;26/08/2018;2;250;Lee, Alexandra;Femenino;90000;Soltero;Entre 51 y 60 años;Tienda;Tienda Fortaleza;Brasil
Audífono Adapter for Contoso Teléfono E130 Blanco;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Blanco;26/08/2018;1;250;Nelson, Isabella;Femenino;30000;Soltero;Entre 26 y 40 años;Tienda;Tienda Río de Janeiro;Brasil
Fabrikam Budget Moviemaker 1/3'' 8.5mm E200 Negro;Videocámaras;Cámaras y videocámaras;Negro;26/08/2018;52;431;Torres, Natalie;Femenino;90000;Soltero;Entre 51 y 60 años;Tienda;Tienda Fortaleza;Brasil
Contoso Bright Light battery E20 Negro;Accesorios de Computadoras;Computadoras;Negro;26/08/2018;1;26,9;Phillips, Marcus;Masculino;90000;Casado;Entre 51 y 60 años;Tienda;Tienda Río de Janeiro;Brasil
WWI Screen 100in M1609 Blanco;Proyectores y pantallas;Computadoras;Blanco;25/08/2018;1;190;Miller, Alyssa;Femenino;90000;Soltero;Entre 51 y 60 años;Tienda;Tienda Fortaleza;Brasil
Contoso In-Line Coupler E180 Dorado;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Dorado;25/08/2018;1;250;Allen, Chloe;Femenino;80000;Casado;Entre 41 y 50 años;Tienda;Tienda Río de Janeiro;Brasil
Proseware Wall Lamp E0315 Dorado;Lámparas;Electrodomésticos;Dorado;25/08/2018;1;101,99;Williams, Lucas;Masculino;80000;Casado;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
Contoso Air Conditioner 25000BTU L1672 Azul;Aires Acondicionados;Electrodomésticos;Azul;25/08/2018;1;3199,99;Reed, Angela;Femenino;50000;Soltero;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
Contoso Original K1m Li-Ion Standard Battery E170 Dorado;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Dorado;25/08/2018;3;250;Anderson, Robert;Masculino;80000;Casado;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
Audífono Adapter for Contoso Teléfono E130 Blanco;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Blanco;25/08/2018;2;250;Lee, Alexandra;Femenino;90000;Soltero;Entre 51 y 60 años;Tienda;Tienda Fortaleza;Brasil
Audífono Adapter for Contoso Teléfono E130 Blanco;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Blanco;25/08/2018;1;250;Nelson, Isabella;Femenino;30000;Soltero;Entre 26 y 40 años;Tienda;Tienda Río de Janeiro;Brasil
Fabrikam Budget Moviemaker 1/3'' 8.5mm E200 Negro;Videocámaras;Cámaras y videocámaras;Negro;25/08/2018;52;431;Torres, Natalie;Femenino;90000;Soltero;Entre 51 y 60 años;Tienda;Tienda Fortaleza;Brasil
Contoso Bright Light battery E20 Negro;Accesorios de Computadoras;Computadoras;Negro;25/08/2018;1;26,9;Phillips, Marcus;Masculino;90000;Casado;Entre 51 y 60 años;Tienda;Tienda Río de Janeiro;Brasil
WWI Screen 100in M1609 Blanco;Proyectores y pantallas;Computadoras;Blanco;24/08/2018;1;190;Miller, Alyssa;Femenino;90000;Soltero;Entre 51 y 60 años;Tienda;Tienda Fortaleza;Brasil
Contoso In-Line Coupler E180 Dorado;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Dorado;24/08/2018;1;250;Allen, Chloe;Femenino;80000;Casado;Entre 41 y 50 años;Tienda;Tienda Río de Janeiro;Brasil
Proseware Wall Lamp E0315 Dorado;Lámparas;Electrodomésticos;Dorado;24/08/2018;1;101,99;Williams, Lucas;Masculino;80000;Casado;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
Contoso Air Conditioner 25000BTU L1672 Azul;Aires Acondicionados;Electrodomésticos;Azul;24/08/2018;1;3199,99;Reed, Angela;Femenino;50000;Soltero;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
WWI 2GB Pulse Smart pen M100 Dorado;Grabadora;Audio;Dorado;24/08/2018;4;199,95;Wood, Rachel;Femenino;90000;Soltero;Entre 51 y 60 años;Tienda;Tienda Fortaleza;Brasil
Contoso Original K1m Li-Ion Standard Battery E170 Dorado;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Dorado;24/08/2018;3;250;Anderson, Robert;Masculino;80000;Casado;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
Audífono Adapter for Contoso Teléfono E130 Blanco;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Blanco;24/08/2018;1;250;Lee, Alexandra;Femenino;90000;Soltero;Entre 51 y 60 años;Tienda;Tienda Fortaleza;Brasil
A. Datum Super-zoom Digital Camera X300 Naranja;Cámaras Digitales;Cámaras y videocámaras;Naranja;24/08/2018;51;290;Griffin, Emily;Femenino;80000;Soltero;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
Contoso Teléfono Tough Skin Case E140 Rosa;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Rosa;24/08/2018;4;23,72;Jenkins, Paige;Femenino;90000;Soltero;Entre 51 y 60 años;Tienda;Tienda Fortaleza;Brasil
Audífono Adapter for Contoso Teléfono E130 Blanco;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Blanco;24/08/2018;1;250;Nelson, Isabella;Femenino;30000;Soltero;Entre 26 y 40 años;Tienda;Tienda Río de Janeiro;Brasil
A. Datum Point Shoot Digital Camera M500 Naranja;Cámaras Digitales;Cámaras y videocámaras;Naranja;24/08/2018;1;198;Torres, Natalie;Femenino;90000;Soltero;Entre 51 y 60 años;Tienda;Tienda Fortaleza;Brasil
Contoso Bright Light battery E20 Negro;Accesorios de Computadoras;Computadoras;Negro;24/08/2018;1;26,9;Phillips, Marcus;Masculino;90000;Casado;Entre 51 y 60 años;Tienda;Tienda Río de Janeiro;Brasil
Contoso Screen 100in E010 Blanco;Proyectores y pantallas;Computadoras;Blanco;24/08/2018;51;599;Perry, Vanessa;Femenino;90000;Soltero;Entre 51 y 60 años;Tienda;Tienda Fortaleza;Brasil
WWI Screen 100in M1609 Blanco;Proyectores y pantallas;Computadoras;Blanco;23/08/2018;1;190;Miller, Alyssa;Femenino;90000;Soltero;Entre 51 y 60 años;Tienda;Tienda Fortaleza;Brasil
Contoso In-Line Coupler E180 Dorado;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Dorado;23/08/2018;1;250;Allen, Chloe;Femenino;80000;Casado;Entre 41 y 50 años;Tienda;Tienda Río de Janeiro;Brasil
Proseware Wall Lamp E0315 Dorado;Lámparas;Electrodomésticos;Dorado;23/08/2018;1;101,99;Williams, Lucas;Masculino;80000;Casado;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
Contoso Air Conditioner 5200BTU E0100 Gris Plata;Aires Acondicionados;Electrodomésticos;Gris Plata;23/08/2018;3;3199,99;Reed, Angela;Femenino;50000;Soltero;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
"Adventure Works 52"" LCD HDTV X590 Dorado";Televisores;TV y Video;Dorado;23/08/2018;54;588;Scott, Madeline;Femenino;80000;Soltero;Entre 41 y 50 años;Tienda;Tienda Río de Janeiro;Brasil
WWI 2GB Pulse Smart pen M100 Dorado;Grabadora;Audio;Dorado;23/08/2018;4;199,95;Wood, Rachel;Femenino;90000;Soltero;Entre 51 y 60 años;Tienda;Tienda Fortaleza;Brasil
Contoso Touch Stylus Pen E150 Negro;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Negro;23/08/2018;4;250;Foster, Thomas;Masculino;80000;Soltero;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
Contoso Original K1m Li-Ion Standard Battery E170 Dorado;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Dorado;23/08/2018;2;250;Anderson, Robert;Masculino;80000;Casado;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
Audífono Adapter for Contoso Teléfono E130 Blanco;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Blanco;23/08/2018;1;250;Lee, Alexandra;Femenino;90000;Soltero;Entre 51 y 60 años;Tienda;Tienda Fortaleza;Brasil
A. Datum Super-zoom Digital Camera X300 Naranja;Cámaras Digitales;Cámaras y videocámaras;Naranja;23/08/2018;51;290;Griffin, Emily;Femenino;80000;Soltero;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
Contoso Teléfono Tough Skin Case E140 Rosa;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Rosa;23/08/2018;4;23,72;Jenkins, Paige;Femenino;90000;Soltero;Entre 51 y 60 años;Tienda;Tienda Fortaleza;Brasil
Audífono Adapter for Contoso Teléfono E130 Blanco;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Blanco;23/08/2018;1;250;Nelson, Isabella;Femenino;30000;Soltero;Entre 26 y 40 años;Tienda;Tienda Río de Janeiro;Brasil
A. Datum Point Shoot Digital Camera M500 Naranja;Cámaras Digitales;Cámaras y videocámaras;Naranja;23/08/2018;1;198;Torres, Natalie;Femenino;90000;Soltero;Entre 51 y 60 años;Tienda;Tienda Fortaleza;Brasil
Contoso Bright Light battery E20 Negro;Accesorios de Computadoras;Computadoras;Negro;23/08/2018;1;26,9;Phillips, Marcus;Masculino;90000;Casado;Entre 51 y 60 años;Tienda;Tienda Río de Janeiro;Brasil
Contoso Screen 100in E010 Blanco;Proyectores y pantallas;Computadoras;Blanco;23/08/2018;51;599;Perry, Vanessa;Femenino;90000;Soltero;Entre 51 y 60 años;Tienda;Tienda Fortaleza;Brasil
WWI Screen 100in M1609 Blanco;Proyectores y pantallas;Computadoras;Blanco;22/08/2018;1;190;Miller, Alyssa;Femenino;90000;Soltero;Entre 51 y 60 años;Tienda;Tienda Fortaleza;Brasil
Contoso In-Line Coupler E180 Dorado;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Dorado;22/08/2018;1;250;Allen, Chloe;Femenino;80000;Casado;Entre 41 y 50 años;Tienda;Tienda Río de Janeiro;Brasil
Proseware Wall Lamp E0315 Dorado;Lámparas;Electrodomésticos;Dorado;22/08/2018;1;101,99;Williams, Lucas;Masculino;80000;Casado;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
Contoso Air Conditioner 5200BTU E0100 Gris Plata;Aires Acondicionados;Electrodomésticos;Gris Plata;22/08/2018;3;3199,99;Reed, Angela;Femenino;50000;Soltero;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
"Adventure Works 52"" LCD HDTV X590 Dorado";Televisores;TV y Video;Dorado;22/08/2018;54;588;Scott, Madeline;Femenino;80000;Soltero;Entre 41 y 50 años;Tienda;Tienda Río de Janeiro;Brasil
WWI 2GB Pulse Smart pen M100 Dorado;Grabadora;Audio;Dorado;22/08/2018;2;199,95;Wood, Rachel;Femenino;90000;Soltero;Entre 51 y 60 años;Tienda;Tienda Fortaleza;Brasil
Contoso Touch Stylus Pen E150 Negro;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Negro;22/08/2018;4;250;Foster, Thomas;Masculino;80000;Soltero;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
Contoso Original K1m Li-Ion Standard Battery E170 Dorado;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Dorado;22/08/2018;2;250;Anderson, Robert;Masculino;80000;Casado;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
Audífono Adapter for Contoso Teléfono E130 Blanco;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Blanco;22/08/2018;1;250;Lee, Alexandra;Femenino;90000;Soltero;Entre 51 y 60 años;Tienda;Tienda Fortaleza;Brasil
Litware Desktop Wind Tower Oscillating Fan E1201 Blanco;Ventiladores;Electrodomésticos;Blanco;22/08/2018;1;29,99;Henderson, Chloe;Femenino;30000;Soltero;Entre 26 y 40 años;Tienda;Tienda Río de Janeiro;Brasil
A. Datum Super-zoom Digital Camera X300 Naranja;Cámaras Digitales;Cámaras y videocámaras;Naranja;22/08/2018;3;290;Griffin, Emily;Femenino;80000;Soltero;Entre 41 y 50 años;Tienda;Tienda Fortaleza;Brasil
Fabrikam Microwave 1.5CuFt X1100 Negro;Microondas;Electrodomésticos;Negro;22/08/2018;51;665,94;Bennett, Nicole;Femenino;90000;Soltero;Entre 51 y 60 años;Tienda;Tienda Río de Janeiro;Brasil
Contoso Teléfono Tough Skin Case E140 Rosa;Accesorios de Teléfonos Móviles;Teléfonos Móviles;Rosa;22/08/2018;3;23,72;Jenkins, Paige;Femenino;90000;Soltero;Entre 51 y 60 años;Tienda;Tienda Fortaleza;Brasil
Adventure Works Wall Lamp E3150 Dorado;Lámparas;Electrodomésticos;Dorado;22/08/2018;4;101,99;Green, Nathan;Masculino;30000;Soltero;Entre 26 y 40 años;Tienda;Tienda Fortaleza;Brasil
